[2026-06-12T16:55:57.097Z] GET http://localhost:5173/ → 200 (21ms, 463B)
[2026-06-12T16:55:57.125Z] GET http://localhost:5173/@vite/client → 200 (32ms, 105533B)
[2026-06-12T16:55:57.125Z] GET http://localhost:5173/src/main.js?t=1781282920624 → 200 (34ms, 2375B)
[2026-06-12T16:55:57.160Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 200 (34ms, 6704B)
[2026-06-12T16:55:57.163Z] GET http://localhost:5173/src/pages-json-js?t=1781282920624 → 200 (42ms, 23536B)
[2026-06-12T16:55:57.163Z] GET http://localhost:5173/node_modules/@dcloudio/uni-h5/dist/uni-h5.es.js → 200 (198ms, ?B)
[2026-06-12T16:55:57.163Z] GET http://localhost:5173/node_modules/@dcloudio/uni-h5-vue/dist/vue.runtime.esm.js → 200 (192ms, ?B)
[2026-06-12T16:55:57.163Z] GET http://localhost:5173/node_modules/.vite/deps/uview-plus.js?v=e503129f → 200 (187ms, 212447B)
[2026-06-12T16:55:57.163Z] GET http://localhost:5173/src/App.vue?t=1781280514864 → 200 (172ms, 12167B)
[2026-06-12T16:55:57.164Z] GET http://localhost:5173/src/store/index.js?t=1781280457356 → 200 (178ms, 13402B)
[2026-06-12T16:55:57.164Z] GET http://localhost:5173/src/api/request.js?t=1781282745450 → 200 (178ms, 23361B)
[2026-06-12T16:55:57.210Z] GET http://localhost:5173/src/manifest-json-js → 200 (132ms, 935B)
[2026-06-12T16:55:57.212Z] GET http://localhost:5173/node_modules/@dcloudio/uni-h5/style/framework/base.css → 200 (131ms, 4352B)
[2026-06-12T16:55:57.212Z] GET http://localhost:5173/node_modules/@dcloudio/uni-h5/style/framework/async.css → 200 (133ms, 901B)
[2026-06-12T16:55:57.212Z] GET http://localhost:5173/node_modules/@dcloudio/uni-h5/style/framework/pageHead.css → 200 (131ms, 5103B)
[2026-06-12T16:55:57.212Z] GET http://localhost:5173/node_modules/@dcloudio/uni-h5/style/framework/tabBar.css → 200 (137ms, 4127B)
[2026-06-12T16:55:57.212Z] GET http://localhost:5173/node_modules/@dcloudio/uni-h5/style/framework/nvue.css → pending (?ms, ?B)
[2026-06-12T16:55:57.212Z] GET http://localhost:5173/node_modules/@dcloudio/uni-components/style/input.css → pending (?ms, ?B)
